"%id","alignment_len","alignment_score","interaction","name","selected","shared interaction","shared name"
"93.88","49","24.0","","zzzzzz9,zzzzz10","false","","zzzzzz9,zzzzz10"
"95.92","49","24.0","","zzzzzz9,zzzz526","false","","zzzzzz9,zzzz526"
"91.67","48","23.0","","zzzzzz8,zzzzz12","false","","zzzzzz8,zzzzz12"
"91.67","48","23.0","","zzzzzz8,zzzz667","false","","zzzzzz8,zzzz667"
"91.67","48","23.0","","zzzzzz8,zzzz610","false","","zzzzzz8,zzzz610"
"85.42","48","21.0","","zzzzzz7,zzzz280","false","","zzzzzz7,zzzz280"
"85.42","48","21.0","","zzzzzz7,zzzz278","false","","zzzzzz7,zzzz278"
"93.88","49","24.0","","zzzzzz7,zzzz526","false","","zzzzzz7,zzzz526"
"93.88","49","24.0","","zzzzzz7,zzzzzz9","false","","zzzzzz7,zzzzzz9"
"93.88","49","24.0","","zzzzzz7,zzzz466","false","","zzzzzz7,zzzz466"
"95.92","49","25.0","","zzzzzz7,zzzzz10","false","","zzzzzz7,zzzzz10"
"98.08","52","26.0","","zzzzzz6,zzzz709","false","","zzzzzz6,zzzz709"
"98.08","52","26.0","","zzzzzz6,zzzz544","false","","zzzzzz6,zzzz544"
"98.08","52","26.0","","zzzzzz6,zzzz411","false","","zzzzzz6,zzzz411"
"87.5","48","22.0","","zzzzzz5,zzzz280","false","","zzzzzz5,zzzz280"
"87.5","48","22.0","","zzzzzz5,zzzz278","false","","zzzzzz5,zzzz278"
"95.92","49","24.0","","zzzzzz5,zzzz526","false","","zzzzzz5,zzzz526"
"95.92","49","24.0","","zzzzzz5,zzzz744","false","","zzzzzz5,zzzz744"
"95.92","49","24.0","","zzzzzz5,zzzz663","false","","zzzzzz5,zzzz663"
"95.92","49","24.0","","zzzzzz5,zzzz538","false","","zzzzzz5,zzzz538"
"95.92","49","24.0","","zzzzzz5,zzzz393","false","","zzzzzz5,zzzz393"
"95.92","49","24.0","","zzzzzz5,zzzz381","false","","zzzzzz5,zzzz381"
"95.92","49","24.0","","zzzzzz5,zzzz353","false","","zzzzzz5,zzzz353"
"95.92","49","24.0","","zzzzzz5,zzzz173","false","","zzzzzz5,zzzz173"
"95.92","49","24.0","","zzzzzz5,zzzzzz9","false","","zzzzzz5,zzzzzz9"
"95.92","49","24.0","","zzzzzz5,zzzz466","false","","zzzzzz5,zzzz466"
"97.96","49","25.0","","zzzzzz5,zzzzz93","false","","zzzzzz5,zzzzz93"
"97.96","49","25.0","","zzzzzz5,zzzzz64","false","","zzzzzz5,zzzzz64"
"97.96","49","25.0","","zzzzzz5,zzzzz59","false","","zzzzzz5,zzzzz59"
"97.96","49","25.0","","zzzzzz5,zzzzz57","false","","zzzzzz5,zzzzz57"
"97.96","49","25.0","","zzzzzz5,zzzzz36","false","","zzzzzz5,zzzzz36"
"97.96","49","25.0","","zzzzzz5,zzzzz17","false","","zzzzzz5,zzzzz17"
"97.96","49","25.0","","zzzzzz5,zzzzz13","false","","zzzzzz5,zzzzz13"
"97.96","49","25.0","","zzzzzz5,zzzz731","false","","zzzzzz5,zzzz731"
"97.96","49","25.0","","zzzzzz5,zzzz724","false","","zzzzzz5,zzzz724"
"97.96","49","25.0","","zzzzzz5,zzzz712","false","","zzzzzz5,zzzz712"
"97.96","49","25.0","","zzzzzz5,zzzz706","false","","zzzzzz5,zzzz706"
"97.96","49","25.0","","zzzzzz5,zzzz689","false","","zzzzzz5,zzzz689"
"97.96","49","25.0","","zzzzzz5,zzzz678","false","","zzzzzz5,zzzz678"
"97.96","49","25.0","","zzzzzz5,zzzz666","false","","zzzzzz5,zzzz666"
"97.96","49","25.0","","zzzzzz5,zzzz652","false","","zzzzzz5,zzzz652"
"97.96","49","25.0","","zzzzzz5,zzzz637","false","","zzzzzz5,zzzz637"
"97.96","49","25.0","","zzzzzz5,zzzz622","false","","zzzzzz5,zzzz622"
"97.96","49","25.0","","zzzzzz5,zzzz614","false","","zzzzzz5,zzzz614"
"97.96","49","25.0","","zzzzzz5,zzzz609","false","","zzzzzz5,zzzz609"
"97.96","49","25.0","","zzzzzz5,zzzz583","false","","zzzzzz5,zzzz583"
"97.96","49","25.0","","zzzzzz5,zzzz577","false","","zzzzzz5,zzzz577"
"97.96","49","25.0","","zzzzzz5,zzzz570","false","","zzzzzz5,zzzz570"
"97.96","49","25.0","","zzzzzz5,zzzz561","false","","zzzzzz5,zzzz561"
"97.96","49","25.0","","zzzzzz5,zzzz553","false","","zzzzzz5,zzzz553"
"97.96","49","25.0","","zzzzzz5,zzzz547","false","","zzzzzz5,zzzz547"
"97.96","49","25.0","","zzzzzz5,zzzz527","false","","zzzzzz5,zzzz527"
"97.96","49","25.0","","zzzzzz5,zzzz510","false","","zzzzzz5,zzzz510"
"97.96","49","25.0","","zzzzzz5,zzzz499","false","","zzzzzz5,zzzz499"
"97.96","49","25.0","","zzzzzz5,zzzz436","false","","zzzzzz5,zzzz436"
"97.96","49","25.0","","zzzzzz5,zzzz431","false","","zzzzzz5,zzzz431"
"97.96","49","25.0","","zzzzzz5,zzzz423","false","","zzzzzz5,zzzz423"
"97.96","49","25.0","","zzzzzz5,zzzz408","false","","zzzzzz5,zzzz408"
"97.96","49","25.0","","zzzzzz5,zzzz362","false","","zzzzzz5,zzzz362"
"97.96","49","25.0","","zzzzzz5,zzzz318","false","","zzzzzz5,zzzz318"
"97.96","49","25.0","","zzzzzz5,zzzz308","false","","zzzzzz5,zzzz308"
"97.96","49","25.0","","zzzzzz5,zzzz297","false","","zzzzzz5,zzzz297"
"97.96","49","25.0","","zzzzzz5,zzzz291","false","","zzzzzz5,zzzz291"
"97.96","49","25.0","","zzzzzz5,zzzz284","false","","zzzzzz5,zzzz284"
"97.96","49","25.0","","zzzzzz5,zzzz261","false","","zzzzzz5,zzzz261"
"97.96","49","25.0","","zzzzzz5,zzzz257","false","","zzzzzz5,zzzz257"
"97.96","49","25.0","","zzzzzz5,zzzz239","false","","zzzzzz5,zzzz239"
"97.96","49","25.0","","zzzzzz5,zzzz194","false","","zzzzzz5,zzzz194"
"97.96","49","25.0","","zzzzzz5,zzzz179","false","","zzzzzz5,zzzz179"
"97.96","49","25.0","","zzzzzz5,zzzz164","false","","zzzzzz5,zzzz164"
"97.96","49","25.0","","zzzzzz5,zzzz149","false","","zzzzzz5,zzzz149"
"97.96","49","25.0","","zzzzzz5,zzzz140","false","","zzzzzz5,zzzz140"
"97.96","49","25.0","","zzzzzz5,zzzz123","false","","zzzzzz5,zzzz123"
"97.96","49","25.0","","zzzzzz5,zzzzzz7","false","","zzzzzz5,zzzzzz7"
"97.96","49","25.0","","zzzzzz5,zzzz680","false","","zzzzzz5,zzzz680"
"97.96","49","25.0","","zzzzzz5,zzzz468","false","","zzzzzz5,zzzz468"
"97.96","49","25.0","","zzzzzz5,zzzz289","false","","zzzzzz5,zzzz289"
"97.96","49","25.0","","zzzzzz5,zzzz255","false","","zzzzzz5,zzzz255"
"97.96","49","25.0","","zzzzzz5,zzzzz91","false","","zzzzzz5,zzzzz91"
"97.96","49","25.0","","zzzzzz5,zzzzz55","false","","zzzzzz5,zzzzz55"
"97.96","49","25.0","","zzzzzz5,zzzzz19","false","","zzzzzz5,zzzzz19"
"97.96","49","25.0","","zzzzzz5,zzzz581","false","","zzzzzz5,zzzz581"
"97.96","49","25.0","","zzzzzz5,zzzz575","false","","zzzzzz5,zzzz575"
"97.96","49","25.0","","zzzzzz5,zzzz567","false","","zzzzzz5,zzzz567"
"97.96","49","25.0","","zzzzzz5,zzzz524","false","","zzzzzz5,zzzz524"
"97.96","49","25.0","","zzzzzz5,zzzz513","false","","zzzzzz5,zzzz513"
"97.96","49","25.0","","zzzzzz5,zzzz421","false","","zzzzzz5,zzzz421"
"97.96","49","25.0","","zzzzzz5,zzzz181","false","","zzzzzz5,zzzz181"
"97.96","49","25.0","","zzzzzz5,zzzz166","false","","zzzzzz5,zzzz166"
"97.96","49","25.0","","zzzzzz5,zzzz735","false","","zzzzzz5,zzzz735"
"97.96","49","25.0","","zzzzzz5,zzzz733","false","","zzzzzz5,zzzz733"
"97.96","49","25.0","","zzzzzz5,zzzz564","false","","zzzzzz5,zzzz564"
"97.96","49","25.0","","zzzzzz5,zzzz563","false","","zzzzzz5,zzzz563"
"97.96","49","25.0","","zzzzzz5,zzzz557","false","","zzzzzz5,zzzz557"
"97.96","49","25.0","","zzzzzz5,zzzz556","false","","zzzzzz5,zzzz556"
"97.96","49","25.0","","zzzzzz5,zzzz555","false","","zzzzzz5,zzzz555"
"97.96","49","25.0","","zzzzzz5,zzzz531","false","","zzzzzz5,zzzz531"
"97.96","49","25.0","","zzzzzz5,zzzz529","false","","zzzzzz5,zzzz529"
"97.96","49","25.0","","zzzzzz5,zzzz429","false","","zzzzzz5,zzzz429"
"97.96","49","25.0","","zzzzzz5,zzzz428","false","","zzzzzz5,zzzz428"
"97.96","49","25.0","","zzzzzz5,zzzz321","false","","zzzzzz5,zzzz321"
"97.96","49","25.0","","zzzzzz5,zzzz320","false","","zzzzzz5,zzzz320"
"97.96","49","25.0","","zzzzzz5,zzzz285","false","","zzzzzz5,zzzz285"
"97.96","49","25.0","","zzzzzz5,zzzz282","false","","zzzzzz5,zzzz282"
"97.96","49","25.0","","zzzzzz5,zzzz192","false","","zzzzzz5,zzzz192"
"97.96","49","25.0","","zzzzzz5,zzzz190","false","","zzzzzz5,zzzz190"
"97.96","49","25.0","","zzzzzz5,zzzz138","false","","zzzzzz5,zzzz138"
"97.96","49","25.0","","zzzzzz5,zzzz137","false","","zzzzzz5,zzzz137"
"97.96","49","25.0","","zzzzzz5,zzzz121","false","","zzzzzz5,zzzz121"
"97.96","49","25.0","","zzzzzz5,zzzzz10","false","","zzzzzz5,zzzzz10"
"87.5","48","22.0","","zzzzzz4,zzzz280","false","","zzzzzz4,zzzz280"
"87.5","48","22.0","","zzzzzz4,zzzz278","false","","zzzzzz4,zzzz278"
"95.92","49","24.0","","zzzzzz4,zzzz526","false","","zzzzzz4,zzzz526"
"95.92","49","24.0","","zzzzzz4,zzzz744","false","","zzzzzz4,zzzz744"
"95.92","49","24.0","","zzzzzz4,zzzz663","false","","zzzzzz4,zzzz663"
"95.92","49","24.0","","zzzzzz4,zzzz538","false","","zzzzzz4,zzzz538"
"95.92","49","24.0","","zzzzzz4,zzzz393","false","","zzzzzz4,zzzz393"
"95.92","49","24.0","","zzzzzz4,zzzz381","false","","zzzzzz4,zzzz381"
"95.92","49","24.0","","zzzzzz4,zzzz353","false","","zzzzzz4,zzzz353"
"95.92","49","24.0","","zzzzzz4,zzzz173","false","","zzzzzz4,zzzz173"
"95.92","49","24.0","","zzzzzz4,zzzzzz9","false","","zzzzzz4,zzzzzz9"
"95.92","49","24.0","","zzzzzz4,zzzz466","false","","zzzzzz4,zzzz466"
"97.96","49","25.0","","zzzzzz4,zzzzz93","false","","zzzzzz4,zzzzz93"
"97.96","49","25.0","","zzzzzz4,zzzzz64","false","","zzzzzz4,zzzzz64"
"97.96","49","25.0","","zzzzzz4,zzzzz59","false","","zzzzzz4,zzzzz59"
"97.96","49","25.0","","zzzzzz4,zzzzz57","false","","zzzzzz4,zzzzz57"
"97.96","49","25.0","","zzzzzz4,zzzzz36","false","","zzzzzz4,zzzzz36"
"97.96","49","25.0","","zzzzzz4,zzzzz17","false","","zzzzzz4,zzzzz17"
"97.96","49","25.0","","zzzzzz4,zzzzz13","false","","zzzzzz4,zzzzz13"
"97.96","49","25.0","","zzzzzz4,zzzz731","false","","zzzzzz4,zzzz731"
"97.96","49","25.0","","zzzzzz4,zzzz724","false","","zzzzzz4,zzzz724"
"97.96","49","25.0","","zzzzzz4,zzzz712","false","","zzzzzz4,zzzz712"
"97.96","49","25.0","","zzzzzz4,zzzz706","false","","zzzzzz4,zzzz706"
"97.96","49","25.0","","zzzzzz4,zzzz689","false","","zzzzzz4,zzzz689"
"97.96","49","25.0","","zzzzzz4,zzzz678","false","","zzzzzz4,zzzz678"
"97.96","49","25.0","","zzzzzz4,zzzz666","false","","zzzzzz4,zzzz666"
"97.96","49","25.0","","zzzzzz4,zzzz652","false","","zzzzzz4,zzzz652"
"97.96","49","25.0","","zzzzzz4,zzzz637","false","","zzzzzz4,zzzz637"
"97.96","49","25.0","","zzzzzz4,zzzz622","false","","zzzzzz4,zzzz622"
"97.96","49","25.0","","zzzzzz4,zzzz614","false","","zzzzzz4,zzzz614"
"97.96","49","25.0","","zzzzzz4,zzzz609","false","","zzzzzz4,zzzz609"
"97.96","49","25.0","","zzzzzz4,zzzz583","false","","zzzzzz4,zzzz583"
"97.96","49","25.0","","zzzzzz4,zzzz577","false","","zzzzzz4,zzzz577"
"97.96","49","25.0","","zzzzzz4,zzzz570","false","","zzzzzz4,zzzz570"
"97.96","49","25.0","","zzzzzz4,zzzz561","false","","zzzzzz4,zzzz561"
"97.96","49","25.0","","zzzzzz4,zzzz553","false","","zzzzzz4,zzzz553"
"97.96","49","25.0","","zzzzzz4,zzzz547","false","","zzzzzz4,zzzz547"
"97.96","49","25.0","","zzzzzz4,zzzz527","false","","zzzzzz4,zzzz527"
"97.96","49","25.0","","zzzzzz4,zzzz510","false","","zzzzzz4,zzzz510"
"97.96","49","25.0","","zzzzzz4,zzzz499","false","","zzzzzz4,zzzz499"
"97.96","49","25.0","","zzzzzz4,zzzz436","false","","zzzzzz4,zzzz436"
"97.96","49","25.0","","zzzzzz4,zzzz431","false","","zzzzzz4,zzzz431"
"97.96","49","25.0","","zzzzzz4,zzzz423","false","","zzzzzz4,zzzz423"
"97.96","49","25.0","","zzzzzz4,zzzz408","false","","zzzzzz4,zzzz408"
"97.96","49","25.0","","zzzzzz4,zzzz362","false","","zzzzzz4,zzzz362"
"97.96","49","25.0","","zzzzzz4,zzzz318","false","","zzzzzz4,zzzz318"
"97.96","49","25.0","","zzzzzz4,zzzz308","false","","zzzzzz4,zzzz308"
